example_id,theme,profile_id,chat_message,major,city,skills,interest,program_type,work_mode,rank_by_target,opportunity_id,company_name,program_name,opportunity_role_cluster,opportunity_required_skills,opportunity_preferred_skills,target_score,predicted_score,absolute_error
1,Cybersecurity / SOC (Dammam / Khobar),eastern-province-cys,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,1,152,Schneider Electric,Co-op Intern (Engineering) - Al Khobar (Jan–Aug 2026),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,82.5,65.09351411380608,17.40648588619392
1,Cybersecurity / SOC (Dammam / Khobar),eastern-province-cys,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,2,90,NHC,COOP Trainee,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,82.0,69.07157819522989,12.92842180477011
1,Cybersecurity / SOC (Dammam / Khobar),eastern-province-cys,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,3,81,Bank Albilad,Cooperative Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis,82.0,73.79165356430511,8.208346435694892
1,Cybersecurity / SOC (Dammam / Khobar),eastern-province-cys,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,4,39,Saudi Food & Drug Authority (SFDA),COOP training (First semester 2025-2026 intake),Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,82.0,69.07157819522989,12.92842180477011
1,Cybersecurity / SOC (Dammam / Khobar),eastern-province-cys,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,5,38,BSF (Banque Saudi Fransi),COOP / Internship,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,77.0,69.07157819522989,7.92842180477011
2,Software engineering / backend,cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,1,79,Tabby,Intern Data Engineer,Data Engineering,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,91.5,81.35057036133954,10.149429638660465
2,Software engineering / backend,cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,2,143,Lean Technologies,Software Engineering Intern – KSA,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,91.5,79.81548180337643,11.684518196623571
2,Software engineering / backend,cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,3,140,Bosch Middle East,Software Development Intern (AI/Cloud),Data Science,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react; docker,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; testing; cloud; rest apis; typescript; ui testing; kubernetes; ci/cd; aws; azure; terraform; statistics; pandas; visualization,88.5,83.11741814545789,5.38258185454211
2,Software engineering / backend,cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,4,77,Tabby,Intern Backend (GO) Engineer,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,88.5,78.37583776770376,10.124162232296245
2,Software engineering / backend,cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,5,155,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,88.5,78.95676109459829,9.543238905401708
3,Data science,ds-scientist-jeddah,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,1,116,Lucidya,Technical Internship or Coop – Lucidya,Machine Learning,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,69.83,64.07937449385734,5.750625506142654
3,Data science,ds-scientist-jeddah,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,2,145,HungerStation | هنقرستيشن,"Co-OP Trainee, Data Analysis – Info Sec",Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,63.83,66.38418876242329,2.554188762423294
3,Data science,ds-scientist-jeddah,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,3,71,OmniOps,Co‑op Training Program,Data Science,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,62.83,61.99186036313473,0.8381396368652716
3,Data science,ds-scientist-jeddah,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,4,108,Gathern,Co-op Program,Software Engineering,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,62.83,60.74929380615775,2.0807061938422464
3,Data science,ds-scientist-jeddah,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,5,97,Saudi Motorsport Company (SMC),COOP Trainee (IT Asset Project Management),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,62.33,54.15950106591119,8.170498934088805
4,AI / machine learning,ds-remote-coop,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,1,71,OmniOps,Co‑op Training Program,Data Science,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,62.33,60.975871633701374,1.3541283662986243
4,AI / machine learning,ds-remote-coop,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,2,108,Gathern,Co-op Program,Software Engineering,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,62.33,58.72171973601322,3.608280263986778
4,AI / machine learning,ds-remote-coop,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,3,123,EjadTech - إيجاد التقنية,"Summer Internship Program 2025 (Computer, Data, and AI Majors)",Software Engineering,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,55.83,53.61646825616515,2.2135317438348494
4,AI / machine learning,ds-remote-coop,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,4,140,Bosch Middle East,Software Development Intern (AI/Cloud),Data Science,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react; docker,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; testing; cloud; rest apis; typescript; ui testing; kubernetes; ci/cd; aws; azure; terraform; statistics; pandas; visualization,54.33,60.09442919285952,5.764429192859524
4,AI / machine learning,ds-remote-coop,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,5,24,MOZN,Data Science Intern,Data Science,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,54.33,54.1305001862161,0.1994998137838948
5,Cloud / data engineering (Dammam),de-cloud-dammam,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,1,79,Tabby,Intern Data Engineer,Data Engineering,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,61.83,57.14806975104921,4.681930248950785
5,Cloud / data engineering (Dammam),de-cloud-dammam,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,2,155,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,59.83,57.5444639158239,2.285536084176101
5,Cloud / data engineering (Dammam),de-cloud-dammam,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,3,76,Tabby,Intern DevOps Engineer,DevOps,python; apis; sql; git; linux; docker,testing; cloud; rest apis; kubernetes; ci/cd; aws; azure; terraform,59.5,57.74167683661343,1.7583231633865708
5,Cloud / data engineering (Dammam),de-cloud-dammam,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,4,77,Tabby,Intern Backend (GO) Engineer,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,58.83,56.30758367011992,2.5224163298800804
5,Cloud / data engineering (Dammam),de-cloud-dammam,Data engineer student in Dammam targeting cloud and big data training with AWS.,DE,Dammam,python; sql,,Training,Hybrid,5,11,Bank Albilad,Cooperative & Summer Training Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals; python; apis; sql; git,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; docker; testing; cloud; rest apis,56.83,45.28922047522714,11.54077952477286
6,Network engineering (Dhahran),ce-network-dhahran,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,1,152,Schneider Electric,Co-op Intern (Engineering) - Al Khobar (Jan–Aug 2026),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,69.0,59.91387430805401,9.086125691945988
6,Network engineering (Dhahran),ce-network-dhahran,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,2,11,Bank Albilad,Cooperative & Summer Training Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals; python; apis; sql; git,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; docker; testing; cloud; rest apis,67.0,61.36573519805561,5.63426480194439
